dataset,window_length,window_label,model,r2_mean,has_anomaly
CY-Bench Maize (Zambia),2,2008-2009,XGBoost,-0.9104979427391108,False
CY-Bench Maize (Zambia),2,2009-2010,Random Forest,0.16241628779498932,False
CY-Bench Maize (Zambia),2,2009-2010,Ridge,0.27630270292395837,False
CY-Bench Maize (Zambia),2,2009-2010,XGBoost,-0.10184603464127921,False
CY-Bench Maize (Zambia),2,2010-2011,Random Forest,0.18135761883934123,False
CY-Bench Maize (Zambia),2,2010-2011,Ridge,0.1542652809544497,False
CY-Bench Maize (Zambia),2,2010-2011,XGBoost,-0.03197116735281691,False
CY-Bench Maize (Zambia),2,2011-2012,Random Forest,0.04259462973033027,True
CY-Bench Maize (Zambia),2,2011-2012,Ridge,0.06763739261539654,True
CY-Bench Maize (Zambia),2,2011-2012,XGBoost,-0.08840642757683163,True
CY-Bench Maize (Zambia),2,2012-2013,Random Forest,0.147295965725049,True
CY-Bench Maize (Zambia),2,2012-2013,Ridge,0.2587782289199545,True
CY-Bench Maize (Zambia),2,2012-2013,XGBoost,0.1115200165087576,True
CY-Bench Maize (Zambia),2,2013-2014,Random Forest,0.010528430208815923,True
CY-Bench Maize (Zambia),2,2013-2014,Ridge,0.07473187791971558,True
CY-Bench Maize (Zambia),2,2013-2014,XGBoost,-0.0969961610161963,True
CY-Bench Maize (Zambia),2,2014-2015,Random Forest,0.23070969511769626,True
CY-Bench Maize (Zambia),2,2014-2015,Ridge,0.25306130896450174,True
CY-Bench Maize (Zambia),2,2014-2015,XGBoost,0.144955343735965,True
CY-Bench Maize (Zambia),2,2015-2016,Random Forest,0.4808810051081614,False
CY-Bench Maize (Zambia),2,2015-2016,Ridge,0.47149817490352836,False
CY-Bench Maize (Zambia),2,2015-2016,XGBoost,0.4013942060987212,False
CY-Bench Maize (Zambia),2,2016-2017,Random Forest,0.19010880877421724,False
CY-Bench Maize (Zambia),2,2016-2017,Ridge,0.3817807998951192,False
CY-Bench Maize (Zambia),2,2016-2017,XGBoost,0.09905207801322709,False
CY-Bench Maize (Zambia),5,2006-2010,Random Forest,0.07729606908904607,False
CY-Bench Maize (Zambia),5,2006-2010,Ridge,0.09286680899871647,False
CY-Bench Maize (Zambia),5,2006-2010,XGBoost,-0.15760340305875728,False
CY-Bench Maize (Zambia),5,2007-2011,Random Forest,0.11155701023964515,False
CY-Bench Maize (Zambia),5,2007-2011,Ridge,0.16829525856579466,False
CY-Bench Maize (Zambia),5,2007-2011,XGBoost,-0.11825820095701693,False
CY-Bench Maize (Zambia),5,2008-2012,Random Forest,0.17108246079418776,True
CY-Bench Maize (Zambia),5,2008-2012,Ridge,0.19966580949008836,True
CY-Bench Maize (Zambia),5,2008-2012,XGBoost,0.05826758811776093,True
CY-Bench Maize (Zambia),5,2009-2013,Random Forest,0.12988553450664522,True
CY-Bench Maize (Zambia),5,2009-2013,Ridge,0.1702093503643336,True
CY-Bench Maize (Zambia),5,2009-2013,XGBoost,-0.050337879317172894,True
CY-Bench Maize (Zambia),5,2010-2014,Random Forest,-0.08270998979660804,True
CY-Bench Maize (Zambia),5,2010-2014,Ridge,-0.0465016944295397,True
CY-Bench Maize (Zambia),5,2010-2014,XGBoost,-0.16994778710297673,True
CY-Bench Maize (Zambia),5,2011-2015,Random Forest,0.09853109022325057,True
CY-Bench Maize (Zambia),5,2011-2015,Ridge,0.0392795013996606,True
CY-Bench Maize (Zambia),5,2011-2015,XGBoost,-0.007728336775883915,True
CY-Bench Maize (Zambia),5,2012-2016,Random Forest,0.02109455287136334,True
CY-Bench Maize (Zambia),5,2012-2016,Ridge,0.021795522583080373,True
CY-Bench Maize (Zambia),5,2012-2016,XGBoost,0.0727954924037127,True
CY-Bench Maize (Zambia),5,2013-2017,Random Forest,0.10542740714069627,True
CY-Bench Maize (Zambia),5,2013-2017,Ridge,0.08856679896780666,True
CY-Bench Maize (Zambia),5,2013-2017,XGBoost,-0.07598656656523368,True
